phrase,pathologie,nom_pathologie
Je me sens souvent fatigué sans raison apparente.,111,Hypertension artérielle : HTA essentielle
"J'ai des maux de tête fréquents, surtout le matin.",111,Hypertension artérielle : HTA essentielle
Ma vision devient parfois floue sans raison.,111,Hypertension artérielle : HTA essentielle
Je ressens des étourdissements lorsque je me lève trop vite.,111,Hypertension artérielle : HTA essentielle
J'ai des saignements de nez occasionnels sans cause évidente.,111,Hypertension artérielle : HTA essentielle
Je me sens essoufflé même après un effort léger.,111,Hypertension artérielle : HTA essentielle
J'ai des douleurs thoraciques légères de temps en temps.,111,Hypertension artérielle : HTA essentielle
Je ressens des palpitations cardiaques sans faire d'exercice.,111,Hypertension artérielle : HTA essentielle
J'ai des difficultés à dormir et je me réveille souvent la nuit.,111,Hypertension artérielle : HTA essentielle
Je me sens anxieux et irritable sans raison.,111,Hypertension artérielle : HTA essentielle
J'ai des bourdonnements d'oreilles fréquents.,111,Hypertension artérielle : HTA essentielle
Je ressens une pression dans ma poitrine de temps en temps.,111,Hypertension artérielle : HTA essentielle
J'ai des crampes musculaires sans avoir fait d'effort intense.,111,Hypertension artérielle : HTA essentielle
Je me sens souvent confus et j'ai du mal à me concentrer.,111,Hypertension artérielle : HTA essentielle
J'ai des sueurs excessives sans raison apparente.,111,Hypertension artérielle : HTA essentielle
Je ressens une fatigue intense même après une bonne nuit de sommeil.,111,Hypertension artérielle : HTA essentielle
J'ai des nausées occasionnelles sans cause identifiable.,111,Hypertension artérielle : HTA essentielle
Je me sens souvent faible et sans énergie.,111,Hypertension artérielle : HTA essentielle
J'ai des douleurs dans le cou et les épaules sans raison.,111,Hypertension artérielle : HTA essentielle
Je ressens une oppression dans la poitrine de temps en temps.,111,Hypertension artérielle : HTA essentielle
J'ai des vertiges fréquents sans raison apparente.,111,Hypertension artérielle : HTA essentielle
Je me sens souvent tendu et stressé sans raison.,111,Hypertension artérielle : HTA essentielle
J'ai des douleurs dans la nuque qui apparaissent soudainement.,111,Hypertension artérielle : HTA essentielle
Je ressens des picotements dans les mains et les pieds.,111,Hypertension artérielle : HTA essentielle
J'ai des troubles de la mémoire et j'oublie souvent les choses.,111,Hypertension artérielle : HTA essentielle
Je me sens souvent étourdi et désorienté.,111,Hypertension artérielle : HTA essentielle
J'ai des douleurs abdominales sans cause évidente.,111,Hypertension artérielle : HTA essentielle
Je ressens une fatigue constante même après m'être reposé.,111,Hypertension artérielle : HTA essentielle
J'ai des maux de tête pulsatiles qui durent longtemps.,111,Hypertension artérielle : HTA essentielle
Je me sens souvent essoufflé sans avoir fait d'effort.,111,Hypertension artérielle : HTA essentielle
J'ai des douleurs dans les jambes sans raison apparente.,111,Hypertension artérielle : HTA essentielle
Je ressens des battements irréguliers dans ma poitrine.,111,Hypertension artérielle : HTA essentielle
J'ai des troubles du sommeil et je me réveille souvent.,111,Hypertension artérielle : HTA essentielle
Je me sens souvent agité et incapable de me détendre.,111,Hypertension artérielle : HTA essentielle
J'ai des douleurs dans la mâchoire sans raison.,111,Hypertension artérielle : HTA essentielle
Je ressens une pression dans les tempes qui est très inconfortable.,111,Hypertension artérielle : HTA essentielle
J'ai des troubles de la vision qui viennent et partent.,111,Hypertension artérielle : HTA essentielle
Je me sens souvent faible et sans force.,111,Hypertension artérielle : HTA essentielle
J'ai des douleurs dans le dos sans raison apparente.,111,Hypertension artérielle : HTA essentielle
Je ressens des étourdissements en me levant brusquement.,111,Hypertension artérielle : HTA essentielle
J'ai des saignements des gencives sans cause évidente.,111,Hypertension artérielle : HTA essentielle
Je me sens souvent fatigué et sans motivation.,111,Hypertension artérielle : HTA essentielle
J'ai des douleurs dans les bras sans raison.,111,Hypertension artérielle : HTA essentielle
Je ressens une oppression dans la tête qui est très désagréable.,111,Hypertension artérielle : HTA essentielle
J'ai des troubles de l'équilibre sans raison apparente.,111,Hypertension artérielle : HTA essentielle
Je me sens souvent tendu et incapable de me détendre.,111,Hypertension artérielle : HTA essentielle
J'ai des douleurs dans les jambes qui me réveillent la nuit.,111,Hypertension artérielle : HTA essentielle
Je ressens des palpitations qui me font peur.,111,Hypertension artérielle : HTA essentielle
J'ai des troubles de la concentration qui affectent mon travail.,111,Hypertension artérielle : HTA essentielle
Je me sens souvent essoufflé même au repos.,111,Hypertension artérielle : HTA essentielle
J'ai des douleurs dans les épaules sans raison.,111,Hypertension artérielle : HTA essentielle
Je ressens une fatigue intense qui m'empêche de vaquer à mes occupations.,111,Hypertension artérielle : HTA essentielle
J'ai des maux de tête qui ne disparaissent pas avec les médicaments.,111,Hypertension artérielle : HTA essentielle
Je me sens souvent étourdi et j'ai du mal à me concentrer.,111,Hypertension artérielle : HTA essentielle
J'ai des douleurs dans la poitrine qui me font peur.,111,Hypertension artérielle : HTA essentielle
Je ressens des picotements dans les doigts sans raison.,111,Hypertension artérielle : HTA essentielle
J'ai des troubles de la mémoire qui m'inquiètent.,111,Hypertension artérielle : HTA essentielle
Je me sens souvent faible et sans énergie.,111,Hypertension artérielle : HTA essentielle
J'ai des douleurs dans le cou qui apparaissent soudainement.,111,Hypertension artérielle : HTA essentielle
Je ressens des étourdissements fréquents qui m'inquiètent.,111,Hypertension artérielle : HTA essentielle
J'ai des saignements de nez qui sont très inquiétants.,111,Hypertension artérielle : HTA essentielle
Je me sens souvent fatigué et sans motivation.,111,Hypertension artérielle : HTA essentielle
J'ai des douleurs dans les bras sans raison apparente.,111,Hypertension artérielle : HTA essentielle
Je ressens une oppression dans la tête qui est très inconfortable.,111,Hypertension artérielle : HTA essentielle
J'ai des troubles de l'équilibre qui m'inquiètent.,111,Hypertension artérielle : HTA essentielle
Je me sens souvent tendu et incapable de me détendre.,111,Hypertension artérielle : HTA essentielle
J'ai des douleurs dans les jambes qui me réveillent la nuit.,111,Hypertension artérielle : HTA essentielle
Je ressens des palpitations qui me font peur.,111,Hypertension artérielle : HTA essentielle
J'ai des troubles de la concentration qui affectent mon travail.,111,Hypertension artérielle : HTA essentielle
Je me sens souvent essoufflé même au repos.,111,Hypertension artérielle : HTA essentielle
J'ai des douleurs dans les épaules sans raison apparente.,111,Hypertension artérielle : HTA essentielle
Je ressens une fatigue intense qui m'empêche de vaquer à mes occupations.,111,Hypertension artérielle : HTA essentielle
J'ai des maux de tête qui ne disparaissent pas avec les médicaments.,111,Hypertension artérielle : HTA essentielle
Je me sens souvent étourdi et j'ai du mal à me concentrer.,111,Hypertension artérielle : HTA essentielle
J'ai des douleurs dans la poitrine qui me font peur.,111,Hypertension artérielle : HTA essentielle
Je ressens des picotements dans les doigts sans raison apparente.,111,Hypertension artérielle : HTA essentielle
J'ai des troubles de la mémoire qui m'inquiètent.,111,Hypertension artérielle : HTA essentielle
Je me sens souvent faible et sans énergie.,111,Hypertension artérielle : HTA essentielle
J'ai des douleurs dans le cou qui apparaissent soudainement.,111,Hypertension artérielle : HTA essentielle
Je ressens des étourdissements fréquents qui m'inquiètent.,111,Hypertension artérielle : HTA essentielle
J'ai des saignements de nez qui sont très inquiétants.,111,Hypertension artérielle : HTA essentielle
Je me sens souvent fatigué et sans motivation.,111,Hypertension artérielle : HTA essentielle
J'ai des douleurs dans les bras sans raison apparente.,111,Hypertension artérielle : HTA essentielle
Je ressens une oppression dans la tête qui est très inconfortable.,111,Hypertension artérielle : HTA essentielle
J'ai des troubles de l'équilibre qui m'inquiètent.,111,Hypertension artérielle : HTA essentielle
Je me sens souvent tendu et incapable de me détendre.,111,Hypertension artérielle : HTA essentielle
J'ai des douleurs dans les jambes qui me réveillent la nuit.,111,Hypertension artérielle : HTA essentielle
Je ressens des palpitations qui me font peur.,111,Hypertension artérielle : HTA essentielle
J'ai des troubles de la concentration qui affectent mon travail.,111,Hypertension artérielle : HTA essentielle
Je me sens souvent essoufflé même au repos.,111,Hypertension artérielle : HTA essentielle
J'ai des douleurs dans les épaules sans raison apparente.,111,Hypertension artérielle : HTA essentielle
Je ressens une fatigue intense qui m'empêche de vaquer à mes occupations.,111,Hypertension artérielle : HTA essentielle
J'ai des maux de tête qui ne disparaissent pas avec les médicaments.,111,Hypertension artérielle : HTA essentielle
Je me sens souvent étourdi et j'ai du mal à me concentrer.,111,Hypertension artérielle : HTA essentielle
J'ai des douleurs dans la poitrine qui me font peur.,111,Hypertension artérielle : HTA essentielle
Je ressens des picotements dans les doigts sans raison apparente.,111,Hypertension artérielle : HTA essentielle
J'ai des troubles de la mémoire qui m'inquiètent.,111,Hypertension artérielle : HTA essentielle
Je me sens souvent faible et sans énergie.,111,Hypertension artérielle : HTA essentielle
J'ai des douleurs dans le cou qui apparaissent soudainement.,111,Hypertension artérielle : HTA essentielle
Je ressens des étourdissements fréquents qui m'inquiètent.,111,Hypertension artérielle : HTA essentielle
J'ai des saignements de nez qui sont très inquiétants.,111,Hypertension artérielle : HTA essentielle
Je me sens souvent fatigué et sans motivation.,111,Hypertension artérielle : HTA essentielle
J'ai des douleurs dans les bras sans raison apparente.,111,Hypertension artérielle : HTA essentielle
Je ressens une oppression dans la tête qui est très inconfortable.,111,Hypertension artérielle : HTA essentielle
J'ai des troubles de l'équilibre qui m'inquiètent.,111,Hypertension artérielle : HTA essentielle
Je me sens souvent tendu et incapable de me détendre.,111,Hypertension artérielle : HTA essentielle
J'ai des douleurs dans les jambes qui me réveillent la nuit.,111,Hypertension artérielle : HTA essentielle
Je ressens des palpitations qui me font peur.,111,Hypertension artérielle : HTA essentielle
J'ai des troubles de la concentration qui affectent mon travail.,111,Hypertension artérielle : HTA essentielle
Je me sens souvent essoufflé même au repos.,111,Hypertension artérielle : HTA essentielle
J'ai des douleurs dans les épaules sans raison apparente.,111,Hypertension artérielle : HTA essentielle
Je ressens une fatigue intense qui m'empêche de vaquer à mes occupations.,111,Hypertension artérielle : HTA essentielle
J'ai des maux de tête qui ne disparaissent pas avec les médicaments.,111,Hypertension artérielle : HTA essentielle
Je me sens souvent étourdi et j'ai du mal à me concentrer.,111,Hypertension artérielle : HTA essentielle
J'ai des douleurs dans la poitrine qui me font peur.,111,Hypertension artérielle : HTA essentielle
Je ressens des picotements dans les doigts sans raison apparente.,111,Hypertension artérielle : HTA essentielle
J'ai des troubles de la mémoire qui m'inquiètent.,111,Hypertension artérielle : HTA essentielle
Je me sens souvent faible et sans énergie.,111,Hypertension artérielle : HTA essentielle
J'ai des douleurs dans le cou qui apparaissent soudainement.,111,Hypertension artérielle : HTA essentielle
Je ressens des étourdissements fréquents qui m'inquiètent.,111,Hypertension artérielle : HTA essentielle
J'ai des saignements de nez qui sont très inquiétants.,111,Hypertension artérielle : HTA essentielle
Je me sens souvent fatigué et sans motivation.,111,Hypertension artérielle : HTA essentielle
J'ai des douleurs dans les bras sans raison apparente.,111,Hypertension artérielle : HTA essentielle
Je ressens une oppression dans la tête qui est très inconfortable.,111,Hypertension artérielle : HTA essentielle
J'ai des troubles de l'équilibre qui m'inquiètent.,111,Hypertension artérielle : HTA essentielle
Je me sens souvent tendu et incapable de me détendre.,111,Hypertension artérielle : HTA essentielle
J'ai des douleurs dans les jambes qui me réveillent la nuit.,111,Hypertension artérielle : HTA essentielle
Je ressens des palpitations qui me font peur.,111,Hypertension artérielle : HTA essentielle
J'ai des troubles de la concentration qui affectent mon travail.,111,Hypertension artérielle : HTA essentielle
Je me sens souvent essoufflé même au repos.,111,Hypertension artérielle : HTA essentielle
J'ai des douleurs dans les épaules sans raison apparente.,111,Hypertension artérielle : HTA essentielle
Je ressens une fatigue intense qui m'empêche de vaquer à mes occupations.,111,Hypertension artérielle : HTA essentielle
J'ai des maux de tête qui ne disparaissent pas avec les médicaments.,111,Hypertension artérielle : HTA essentielle
Je me sens souvent étourdi et j'ai du mal à me concentrer.,111,Hypertension artérielle : HTA essentielle
J'ai des douleurs dans la poitrine qui me font peur.,111,Hypertension artérielle : HTA essentielle
Je ressens des picotements dans les doigts sans raison apparente.,111,Hypertension artérielle : HTA essentielle
J'ai des troubles de la mémoire qui m'inquiètent.,111,Hypertension artérielle : HTA essentielle
Je me sens souvent faible et sans énergie.,111,Hypertension artérielle : HTA essentielle
J'ai des douleurs dans le cou qui apparaissent soudainement.,111,Hypertension artérielle : HTA essentielle
Je ressens des étourdissements fréquents qui m'inquiètent.,111,Hypertension artérielle : HTA essentielle
J'ai des saignements de nez qui sont très inquiétants.,111,Hypertension artérielle : HTA essentielle
Je me sens souvent fatigué et sans motivation.,111,Hypertension artérielle : HTA essentielle
J'ai des douleurs dans les bras sans raison apparente.,111,Hypertension artérielle : HTA essentielle
Je ressens une oppression dans la tête qui est très inconfortable.,111,Hypertension artérielle : HTA essentielle
J'ai remarqué que j'ai souvent mal à la tête et que ma vision devient floue de temps en temps.,112,Hypertension artérielle : HTA secondaire
Je me sens constamment fatigué et j'ai des difficultés à respirer même après un effort léger.,112,Hypertension artérielle : HTA secondaire
Mon médecin m'a dit que j'avais un bruit dans les artères du cou lors de mon dernier examen.,112,Hypertension artérielle : HTA secondaire
J'ai des palpitations fréquentes et je me sens souvent anxieux sans raison apparente.,112,Hypertension artérielle : HTA secondaire
J'ai pris du poids récemment et j'ai remarqué que je transpire beaucoup plus qu'avant.,112,Hypertension artérielle : HTA secondaire
Je ressens souvent des étourdissements et j'ai parfois des saignements de nez sans raison.,112,Hypertension artérielle : HTA secondaire
J'ai des douleurs dans la poitrine et mon médecin a mentionné que ma pression artérielle était très élevée.,112,Hypertension artérielle : HTA secondaire
J'ai des crampes musculaires fréquentes et une sensation de faiblesse générale dans mon corps.,112,Hypertension artérielle : HTA secondaire
J'ai des difficultés à dormir et je me réveille souvent la nuit avec une sensation d'oppression.,112,Hypertension artérielle : HTA secondaire
Je ressens une douleur intense dans la poitrine qui irradie vers mon bras gauche.,113,Hypertension artérielle : Complications cardiovasculaires de l'HTA
J'ai souvent des essoufflements même lorsque je suis au repos.,113,Hypertension artérielle : Complications cardiovasculaires de l'HTA
"Je me sens très fatigué et faible, même après une bonne nuit de sommeil.",113,Hypertension artérielle : Complications cardiovasculaires de l'HTA
J'ai des palpitations cardiaques qui me font très peur.,113,Hypertension artérielle : Complications cardiovasculaires de l'HTA
