phrase,pathologie,nom_pathologie
Mes jambes gonflent et je ressens une lourdeur constante.,113,Hypertension artérielle : Complications cardiovasculaires de l'HTA
Je tousse beaucoup la nuit et j'ai du mal à respirer quand je suis allongé.,113,Hypertension artérielle : Complications cardiovasculaires de l'HTA
J'ai des étourdissements fréquents et je me sens parfois proche de l'évanouissement.,113,Hypertension artérielle : Complications cardiovasculaires de l'HTA
"Ma tension artérielle reste élevée malgré mes médicaments.,",113,Hypertension artérielle : Complications cardiovasculaires de l'HTA
Je ressens une oppression dans la poitrine qui ne disparaît pas.,113,Hypertension artérielle : Complications cardiovasculaires de l'HTA
J'ai des maux de tête violents qui ne s'améliorent pas avec les analgésiques.,113,Hypertension artérielle : Complications cardiovasculaires de l'HTA
Je me réveille souvent la nuit avec une sensation d'étouffement.,113,Hypertension artérielle : Complications cardiovasculaires de l'HTA
J'ai des douleurs dans le dos qui ne sont pas soulagées par le repos.,113,Hypertension artérielle : Complications cardiovasculaires de l'HTA
Je ressens une grande anxiété et j'ai peur de faire un effort physique.,113,Hypertension artérielle : Complications cardiovasculaires de l'HTA
J'ai des nausées et des sueurs froides sans raison apparente.,113,Hypertension artérielle : Complications cardiovasculaires de l'HTA
Je ressens des battements irréguliers dans ma poitrine.,113,Hypertension artérielle : Complications cardiovasculaires de l'HTA
J'ai des difficultés à marcher en raison d'une douleur dans la jambe.,113,Hypertension artérielle : Complications cardiovasculaires de l'HTA
Je me sens confus et j'ai du mal à me concentrer sur des tâches simples.,113,Hypertension artérielle : Complications cardiovasculaires de l'HTA
J'ai souvent soif même après avoir bu beaucoup d'eau.,121,Diabète de type 2
Je me sens très fatigué ces derniers temps sans raison.,121,Diabète de type 2
J'urine beaucoup plus souvent surtout la nuit.,121,Diabète de type 2
J'ai remarqué que mes plaies guérissent très lentement.,121,Diabète de type 2
Mes pieds me picotent et parfois j'ai des fourmillements.,121,Diabète de type 2
J'ai perdu du poids sans faire de régime.,121,Diabète de type 2
J'ai souvent faim même après les repas.,121,Diabète de type 2
Ma vision est parfois floue surtout en fin de journée.,121,Diabète de type 2
J'ai une sensation de brûlure dans mes jambes.,121,Diabète de type 2
Je me sens irritable sans raison apparente.,121,Diabète de type 2
J'ai des infections urinaires à répétition.,121,Diabète de type 2
J'ai des démangeaisons fréquentes au niveau de la peau.,121,Diabète de type 2
J'ai la bouche sèche en permanence.,121,Diabète de type 2
Je remarque que mes gencives saignent facilement.,121,Diabète de type 2
J'ai des crampes musculaires qui reviennent souvent.,121,Diabète de type 2
Je me sens faible et sans énergie.,121,Diabète de type 2
J'ai des vertiges lorsque je me lève trop vite.,121,Diabète de type 2
J'ai du mal à cicatriser après une coupure.,121,Diabète de type 2
Mes pieds sont froids et j'ai parfois des douleurs.,121,Diabète de type 2
J'ai des infections de la peau qui ne passent pas facilement.,121,Diabète de type 2
Mon appétit est très variable je peux manger beaucoup puis rien.,121,Diabète de type 2
Je transpire beaucoup même sans effort.,121,Diabète de type 2
J'ai souvent des nausées sans cause évidente.,121,Diabète de type 2
Mes mains sont souvent engourdies.,121,Diabète de type 2
J'ai des picotements dans les doigts et les orteils.,121,Diabète de type 2
Je perds l'équilibre de temps en temps.,121,Diabète de type 2
J'ai du mal à me concentrer au travail.,121,Diabète de type 2
Je me sens parfois très anxieux sans raison.,121,Diabète de type 2
J'ai remarqué que ma peau est devenue plus foncée au niveau du cou.,121,Diabète de type 2
J'ai une sensation de soif intense la nuit.,121,Diabète de type 2
J'ai souvent la tête lourde et mal au crâne.,121,Diabète de type 2
J'ai un goût métallique dans la bouche.,121,Diabète de type 2
Mes ongles sont cassants et déformés.,121,Diabète de type 2
Je ressens une fatigue intense après chaque repas.,121,Diabète de type 2
J'ai du mal à rester debout longtemps mes jambes me font mal.,121,Diabète de type 2
J'ai remarqué que mes vêtements sont plus larges j'ai perdu du ventre.,121,Diabète de type 2
Je suis souvent en hypoglycémie j'ai des sueurs froides.,121,Diabète de type 2
J'ai des troubles du sommeil je me réveille souvent la nuit.,121,Diabète de type 2
J'ai la peau très sèche surtout sur les jambes.,121,Diabète de type 2
Mes lèvres sont souvent gercées et douloureuses.,121,Diabète de type 2
J'ai des douleurs dans la poitrine quand je marche longtemps.,121,Diabète de type 2
Je ressens une grande soif qui ne passe pas.,121,Diabète de type 2
J'ai des nausées après les repas gras.,121,Diabète de type 2
Mes pieds ont des rougeurs et des gonflements.,121,Diabète de type 2
Je ressens une faiblesse soudaine en faisant de l'effort.,121,Diabète de type 2
J'ai des douleurs articulaires fréquentes.,121,Diabète de type 2
J'ai du mal à respirer quand je fais une petite marche.,121,Diabète de type 2
J'ai des maux de tête qui reviennent chaque jour.,121,Diabète de type 2
Je me sens souvent déprimé.,121,Diabète de type 2
J'ai des brûlures d'estomac récurrentes.,121,Diabète de type 2
Mes yeux piquent et je pleure facilement.,121,Diabète de type 2
J'ai une sensation de lourdeur dans les jambes.,121,Diabète de type 2
J'ai des sensations de picotements quand je conduis.,121,Diabète de type 2
J'ai remarqué que mes cheveux tombent plus qu'avant.,121,Diabète de type 2
J'ai souvent froid même quand il fait chaud.,121,Diabète de type 2
Je ressens une grande faiblesse après le sport.,121,Diabète de type 2
J'ai des troubles de la mémoire récents.,121,Diabète de type 2
Je remarque que mes gencives sont rouges et enflées.,121,Diabète de type 2
J'ai des démangeaisons au niveau des plis de la peau.,121,Diabète de type 2
J'ai des crampes nocturnes dans les mollets.,121,Diabète de type 2
Je suis souvent essoufflé en montant les escaliers.,121,Diabète de type 2
J'ai une mauvaise haleine qui ne part pas.,121,Diabète de type 2
Je suis souvent irritable et de mauvaise humeur.,121,Diabète de type 2
J'ai des infections vaginales à répétition.,121,Diabète de type 2
Je ressens des douleurs au ventre après les repas.,121,Diabète de type 2
J'ai des troubles digestifs fréquents.,121,Diabète de type 2
J'ai du mal à perdre du poids malgré mes efforts.,121,Diabète de type 2
Mes pieds sont souvent engourdis après avoir marché.,121,Diabète de type 2
J'ai des difficultés à me concentrer quand je travaille sur l'ordinateur.,121,Diabète de type 2
J'ai souvent les mains froides et moites.,121,Diabète de type 2
Je ressens une fatigue chronique qui ne s'améliore pas avec le repos.,121,Diabète de type 2
J'ai remarqué que ma peau est devenue plus fine.,121,Diabète de type 2
Je ressens une grande soif et une bouche pâteuse.,121,Diabète de type 2
J'ai souvent des palpitations sans cause apparente.,121,Diabète de type 2
J'ai du mal à contrôler ma glycémie malgré mon traitement.,121,Diabète de type 2
"Je me sens souvent très fatigué, même après une bonne nuit de sommeil.",122,Diabète de type 1
J'ai une soif intense et je dois boire de l'eau constamment.,122,Diabète de type 1
"Je vais aux toilettes très fréquemment, même pendant la nuit.",122,Diabète de type 1
"J'ai perdu du poids sans raison apparente, malgré un appétit normal.",122,Diabète de type 1
J'ai souvent des étourdissements et je me sens faible.,122,Diabète de type 1
Ma vision est devenue floue et j'ai du mal à me concentrer.,122,Diabète de type 1
Je ressens des picotements et un engourdissement dans mes mains et mes pieds.,122,Diabète de type 1
"J'ai des infections fréquentes, comme des infections de la peau ou des infections urinaires.",122,Diabète de type 1
Je me sens souvent irritable et anxieux sans raison évidente.,122,Diabète de type 1
"J'ai des épisodes de transpiration excessive et des tremblements, surtout si je n'ai pas mangé à temps.",122,Diabète de type 1
"Je me sens constamment triste et vide, sans raison apparente.",131,Troubles de l'humeur et psychiques : Dépression majeure
Je n'ai plus d'intérêt pour les activités que j'aimais auparavant.,131,Troubles de l'humeur et psychiques : Dépression majeure
Je me réveille souvent la nuit et j'ai du mal à me rendormir.,131,Troubles de l'humeur et psychiques : Dépression majeure
"Je me sens fatigué tout le temps, même après une bonne nuit de sommeil.",131,Troubles de l'humeur et psychiques : Dépression majeure
"J'ai du mal à me concentrer, même sur des tâches simples.",131,Troubles de l'humeur et psychiques : Dépression majeure
Je me sens inutile et sans espoir pour l'avenir.,131,Troubles de l'humeur et psychiques : Dépression majeure
J'ai perdu l'appétit et j'ai du mal à manger régulièrement.,131,Troubles de l'humeur et psychiques : Dépression majeure
Je me sens coupable et je rumine souvent sur mes erreurs passées.,131,Troubles de l'humeur et psychiques : Dépression majeure
"Je n'arrive plus à prendre des décisions, même les plus simples.",131,Troubles de l'humeur et psychiques : Dépression majeure
Je me sens agité et incapable de rester en place.,131,Troubles de l'humeur et psychiques : Dépression majeure
Je pense souvent à la mort et à la possibilité de me suicider.,131,Troubles de l'humeur et psychiques : Dépression majeure
Je pleure souvent sans raison apparente.,131,Troubles de l'humeur et psychiques : Dépression majeure
"Je me sens physiquement ralenti, comme si tout était un effort.",131,Troubles de l'humeur et psychiques : Dépression majeure
Je n'ai plus d'énergie pour faire quoi que ce soit.,131,Troubles de l'humeur et psychiques : Dépression majeure
Je me sens désespéré et je ne vois pas d'issue à ma situation.,131,Troubles de l'humeur et psychiques : Dépression majeure
Je me sens irritable et je m'énerve facilement.,131,Troubles de l'humeur et psychiques : Dépression majeure
Je n'arrive plus à ressentir de la joie ou du plaisir.,131,Troubles de l'humeur et psychiques : Dépression majeure
Je me sens submergé par l'anxiété et la peur.,131,Troubles de l'humeur et psychiques : Dépression majeure
Je me sens comme un fardeau pour les autres.,131,Troubles de l'humeur et psychiques : Dépression majeure
Je n'ai plus envie de sortir de chez moi ou de voir qui que ce soit.,131,Troubles de l'humeur et psychiques : Dépression majeure
Je me sens vide et sans émotion.,131,Troubles de l'humeur et psychiques : Dépression majeure
Je n'arrive plus à me motiver pour quoi que ce soit.,131,Troubles de l'humeur et psychiques : Dépression majeure
Je me sens constamment en échec.,131,Troubles de l'humeur et psychiques : Dépression majeure
Je n'ai plus confiance en moi et je me sens inutile.,131,Troubles de l'humeur et psychiques : Dépression majeure
Je me sens coupable de ne pas être à la hauteur.,131,Troubles de l'humeur et psychiques : Dépression majeure
Je n'arrive plus à me projeter dans l'avenir.,131,Troubles de l'humeur et psychiques : Dépression majeure
Je me sens comme si je vivais dans un brouillard.,131,Troubles de l'humeur et psychiques : Dépression majeure
Je n'ai plus envie de prendre soin de moi.,131,Troubles de l'humeur et psychiques : Dépression majeure
Je me sens comme si je perdais le contrôle de ma vie.,131,Troubles de l'humeur et psychiques : Dépression majeure
Je n'arrive plus à ressentir de l'affection pour les autres.,131,Troubles de l'humeur et psychiques : Dépression majeure
Je me sens comme si je n'avais plus rien à offrir.,131,Troubles de l'humeur et psychiques : Dépression majeure
Je n'ai plus envie de parler à qui que ce soit.,131,Troubles de l'humeur et psychiques : Dépression majeure
Je me sens comme si je n'avais plus de raison de vivre.,131,Troubles de l'humeur et psychiques : Dépression majeure
Je n'arrive plus à me concentrer sur quoi que ce soit.,131,Troubles de l'humeur et psychiques : Dépression majeure
Je me sens comme si je n'avais plus de valeur.,131,Troubles de l'humeur et psychiques : Dépression majeure
"Je me sens constamment tendu et je m'inquiète pour tout, même les petites choses.",132,Troubles de l'humeur et psychiques : Anxiété généralisée
"Mon esprit ne s'arrête jamais, c'est comme si je ne pouvais pas contrôler mes pensées.",132,Troubles de l'humeur et psychiques : Anxiété généralisée
J'ai souvent des maux de tête et des tensions musculaires sans raison apparente.,132,Troubles de l'humeur et psychiques : Anxiété généralisée
"Je me sens fatigué tout le temps, même après une bonne nuit de sommeil.",132,Troubles de l'humeur et psychiques : Anxiété généralisée
J'ai des difficultés à me concentrer sur mon travail ou mes études à cause de mon anxiété.,132,Troubles de l'humeur et psychiques : Anxiété généralisée
"Je ressens une peur intense et irrationnelle que quelque chose de terrible va arriver.,132",132,Troubles de l'humeur et psychiques : Anxiété généralisée
"Je me réveille souvent la nuit en sueur, le cœur battant à cause de mes inquiétudes.",132,Troubles de l'humeur et psychiques : Anxiété généralisée
Je me sens submergé par mes responsabilités et j'ai peur de ne pas être à la hauteur.,132,Troubles de l'humeur et psychiques : Anxiété généralisée
J'ai des nausées et des problèmes digestifs quand je suis particulièrement anxieux.,132,Troubles de l'humeur et psychiques : Anxiété généralisée
"Je me sens irritable et à fleur de peau, même avec mes proches.",132,Troubles de l'humeur et psychiques : Anxiété généralisée
J'ai souvent des vertiges et je me sens étourdi sans raison médicale évidente.,132,Troubles de l'humeur et psychiques : Anxiété généralisée
Je me sens comme si je perdais le contrôle de ma vie et de mes émotions.,132,Troubles de l'humeur et psychiques : Anxiété généralisée
"J'ai des difficultés à prendre des décisions, même simples, par peur de faire une erreur.",132,Troubles de l'humeur et psychiques : Anxiété généralisée
"Je me sens souvent en danger, même dans des situations parfaitement sûres.",132,Troubles de l'humeur et psychiques : Anxiété généralisée
J'ai des palpitations et une sensation d'oppression dans la poitrine quand je suis anxieux.,132,Troubles de l'humeur et psychiques : Anxiété généralisée
"Je me sens isolé et incompris, comme si personne ne pouvait comprendre ce que je vis.",132,Troubles de l'humeur et psychiques : Anxiété généralisée
J'ai des difficultés à respirer correctement quand je suis submergé par l'anxiété.,132,Troubles de l'humeur et psychiques : Anxiété généralisée
"Je me sens constamment sur le qui-vive, comme si je devais me préparer au pire.",132,Troubles de l'humeur et psychiques : Anxiété généralisée
J'ai des tremblements et des secousses musculaires quand je suis particulièrement stressé.,132,Troubles de l'humeur et psychiques : Anxiété généralisée
"Je me sens désespéré et sans espoir, comme si rien ne pouvait aller mieux.",132,Troubles de l'humeur et psychiques : Anxiété généralisée
"Parfois, je me sens invincible et plein d'énergie, mais d'autres fois, je ne peux même pas sortir du lit.",133,Troubles de l'humeur et psychiques : Troubles bipolaires 
"J'ai des périodes où je parle très vite et où mes pensées s'emballent, puis soudain, je me sens complètement vide.",133,Troubles de l'humeur et psychiques : Troubles bipolaires 
Il m'arrive de dépenser beaucoup d'argent de manière impulsive quand je me sens au sommet de ma forme.,133,Troubles de l'humeur et psychiques : Troubles bipolaires 
Je passe par des phases où je me sens extrêmement irritable et agité sans raison apparente.,133,Troubles de l'humeur et psychiques : Troubles bipolaires 
Il y a des moments où je me sens tellement triste et désespéré que je ne vois pas l'intérêt de continuer.,133,Troubles de l'humeur et psychiques : Troubles bipolaires 
"Je me réveille plusieurs fois par nuit et j'ai du mal à me rendormir, ce qui me laisse épuisé le matin.",134,Troubles de l'humeur et psychiques : Troubles du sommeil associés
"Même si je me sens fatigué, je ne parviens pas à m'endormir, mon esprit ne cesse de ressasser des pensées.",134,Troubles de l'humeur et psychiques : Troubles du sommeil associés
Je fais souvent des cauchemars qui me réveillent en sueur et en état de panique.,134,Troubles de l'humeur et psychiques : Troubles du sommeil associés
"Je me sens comme paralysé au moment de m'endormir ou de me réveiller, c'est vraiment effrayant.",134,Troubles de l'humeur et psychiques : Troubles du sommeil associés
"Je passe des nuits blanches à fixer le plafond, et le manque de sommeil aggrave mon anxiété pendant la journée.",134,Troubles de l'humeur et psychiques : Troubles du sommeil associés
